127.0.0.1 - - [06/Jul/2022:09:46:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:15 +0530] "GET /WebProject/ HTTP/1.1" 200 13324
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:15 +0530] "GET /WebProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:15 +0530] "GET /WebProject/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:15 +0530] "GET /WebProject/img/payments.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:15 +0530] "GET /WebProject/mail/jqBootstrapValidation.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:16 +0530] "GET /WebProject/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:16 +0530] "GET /WebProject/lib/easing/easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:16 +0530] "GET /WebProject/mail/contact.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:16 +0530] "GET /WebProject/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:16 +0530] "GET /Practice_JSP/display HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:16 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:16 +0530] "GET /WebProject/img/favicon.ico HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/skip HTTP/1.1" 200 44597
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/carousel-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/carousel-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/cat-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/cat-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/cat-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/cat-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/cat-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/cat-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/offer-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/offer-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/product-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/product-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/product-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/product-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/product-7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/product-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/product-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/product-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/vendor-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/vendor-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/vendor-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/vendor-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/vendor-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/vendor-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/vendor-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:46:28 +0530] "GET /WebProject/img/vendor-7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:47:18 +0530] "GET /WebProject/mendress.jsp HTTP/1.1" 200 20554
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:47:18 +0530] "GET /WebProject/image.jpg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:47:40 +0530] "GET /WebProject/index.jsp HTTP/1.1" 200 13324
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:47:43 +0530] "GET /WebProject/img/payments.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:47:44 +0530] "GET /WebProject/skip HTTP/1.1" 200 44597
